createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,Liq_Eth,Liq_Tok
2020-05-29,0x1f092110d1746d1d6cce27cf8d4fb5d228001150,Cipher,CPR,Wrapped Ether,WETH,0x20ae0ca9d42e6ffeb1188f341a7d63450452def6,Cipher,CPR,423,0xc46b18f9e4abf455e3b0ffb12df15ac40aa7aaba,335,214718.3985,0.028544699
2020-05-29,0x573959d26bd99ec816362ce2b74f0e1df3a46957,Pool Dai,plDai,Wrapped Ether,WETH,0x49d716dfe60b37379010a75329ae09428f17118d,Pool Dai,plDai,29,0x567fb0238d73fcf4db40c3bd83433b9a39284cae,19,1.73e-11,0.001
2020-05-29,0x9cd7403ac4856071581e1f5a298317d9a72a19cf,LTO Network Token,LTO,Wrapped Ether,WETH,0x3db6ba6ab6f95efed1a6e794cad492faaabf294d,LTO Network Token,LTO,27368,0xdf4d1b71aa4b8bb6814b2e5819844c3093a56349,26238,821703.8493,50.65996783
2020-05-29,0x3dea39dc7af480fe9b8cdaab9f934f8592ba3ade,Wrapped Ether,WETH,Synth sDEFI,sDEFI,0xe1afe1fd76fd88f78cbf599ea1846231b8ba3b6b,Synth sDEFI,sDEFI,647,0xb64ff7a4a33acdf48d97dab0d764afd0f6176882,589,0.114698382,0.391920513
2020-05-29,0xdb0172e5cd62dfcad3ba4bbe68179748218dc00b,Wrapped Ether,WETH,Pluricentro,PCTO,0xfe8e45681356344e7d59813cba343b55a1bb647e,Pluricentro,PCTO,847,0x909d05f384d0663ed4be59863815ab43b4f347ec,847,1452.065602,0.041326495
2020-05-28,0xfad8b07055a0371442a3106a2244a82b24e31cec,Bizcoin,BIZ,Wrapped Ether,WETH,0x5d7f6540b8d592e81def42904c853a6dd01bd486,Bizcoin,BIZ,300,0xe2db1df5efba0bb03188c657f226b20f4e1690f1,295,20492772.64,0.342659734
2020-05-28,0xccf1602a801ee050b494d105e9f26474d3cd0de6,TokenHarbor,TEST-TH,Wrapped Ether,WETH,0x8dd7b4dc7d9148aed3463f67862a2282ec736c7d,TokenHarbor,TEST-TH,5,0x9220910945de631feec536748b56945d0fbfd2ee,5,6.32e-14,1.6e-17
2020-05-28,0x4de066026afae0d13fe2bd8a7fef4f7a48fb09b6,Fulcrum ETH iToken,iETH,Wrapped Ether,WETH,0x77f973fcaf871459aa58cd81881ce453759281bc,Fulcrum ETH iToken,iETH,8,0xadff3ada12ed0f8a87e31e5a04dfd2ee054e1118,8,2.41e-13,1e-05
2020-05-28,0x4168cef0fca0774176632d86ba26553e3b9cf59d,Dev,DEV,Wrapped Ether,WETH,0x5caf454ba92e6f2c929df14667ee360ed9fd5b26,Dev,DEV,27917,0x1dcb85efea6a3fb528d19b9174e88ee35bff540a,27917,217351.8696,134.3971157
2020-05-28,0x8ff2fd6f94cdce7c56bb11328eb9928c9483aa66,Minds,MINDS,Wrapped Ether,WETH,0xb26631c6dda06ad89b93c71400d25692de89c068,Minds,MINDS,7458,0x8ba5b43842ecf44e08988dd824db544a94e05b2a,7374,1533443.539,737.7206504
2020-05-27,0x0f8e31593857e182fab1b7bf38ae269ece69f4e1,GRID Token,GRID,Wrapped Ether,WETH,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,GRID Token,GRID,10662,0x94dc1cf66c8fd62ef3bd7da53f47423862839823,10662,10392.39534,1.080672664
2020-05-27,0xbb303b573624aeb3762c1bf7b79521a3a0c6b1da,Bitanium,BI,Wrapped Ether,WETH,0x5b5bb9765eff8d26c24b9ff0daa09838a3cd78e9,Bitanium,BI,2300,0x7df82b06fcb9ed32ff7408442b0d0c3f59af5991,1818,131.0826,0.00532511
2020-05-27,0x6311dda2ccb87b36aa452c999d249ae133bf7e16,Raise,RAISE,Wrapped Ether,WETH,0x10ba8c420e912bf07bedac03aa6908720db04e0c,Raise,RAISE,177,0xed9b65514409014aa06ebf4199aaba71af8faea3,177,1.06e-06,0.001
